,,,,,Title,,,,,,Year,,Venue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,,262,2314,2D Transparency Space - Bring Domain Users and Machine Learning Experts Together,Include,Ex,include,include,,2018,https://doi.org/10.1007/978-3-319-90403-0_1,"Human and Machine Learning - Visible, Explainable, Trustworthy and Transparent",DBLP,,,,,5,,,,,,Springer,,,,,,,,,,,,"Zhou, Jianlong; Chen, Fang",,,,,,,,,,,,,
49,150,355,"Olariu C., Assem H., Ortega J.D., Nieto M.",57213455805;55694486600;55973067300;13106199700;,A Cloud-based AI framework for machine learning orchestration: A 'driving or not-driving' case-study for self-driving cars,Include,Ex,include,include,rem,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072278281&doi=10.1109%2fIVS.2019.8813870&partnerID=40&md5=f0ca177bdbd22bec04f1a778fee5a73b,2019,"IEEE Intelligent Vehicles Symposium, Proceedings",2019-June,,8813870,1715,1722,,,10.1109/IVS.2019.8813870,"Innovation Exchange, IBM Ireland, Dublin, Ireland; Spatial Dynamics Lab, University College Dublin, Ireland; Intelligent Transport Systems and Engineering, Vicomtech, San Sebastian, Spain","Olariu, C., Innovation Exchange, IBM Ireland, Dublin, Ireland; Assem, H., Innovation Exchange, IBM Ireland, Dublin, Ireland, Spatial Dynamics Lab, University College Dublin, Ireland; Ortega, J.D., Intelligent Transport Systems and Engineering, Vicomtech, San Sebastian, Spain; Nieto, M., Intelligent Transport Systems and Engineering, Vicomtech, San Sebastian, Spain",,Automation; Eye movements; Intelligent vehicle highway systems; Interactive computer systems; Machine learning; Model automobiles; Real time systems; Automated driving systems; Classification models; Confidence levels; Continuous updates; Driver monitoring system; Environment change; Level of automations; Vehicle automations; Autonomous vehicles,,Institute of Electrical and Electronics Engineers Inc.,"30th IEEE Intelligent Vehicles Symposium, IV 2019",9 June 2019 through 12 June 2019,,151325,,9781728105604,,Conference Paper,Final,,Scopus,2-s2.0-85072278281,,,,,,,,,,,
163,,,78,1888,A Cloud-based Framework for Implementing Portable Machine Learning Pipelines for Neural Data Analysis,Uncertain,Include,include,include,,2019,https://doi.org/10.1109/EMBC.2019.8856929,"41st Annual International Conference of the {IEEE} Engineering in Medicine and Biology Society, {EMBC} 2019, Berlin, Germany, July 23-27, 2019",DBLP,,,,,6,,,,,,{IEEE},,,,,,,,,,,,"Ellis, Charles A.; Gu, Ping; Sendi, Mohammad S. Eslampanah; Huddleston, Daniel; Sharma, Ashish; Mahmoudi, Babak",,,,,,,,,,,,,
258,,,549,3605,A Community-Based Platform for Machine Learning Experimentation,Exclude,Include,include,include,,2009,https://link.springer.com/chapter/10.1007/978-3-642-04174-7_56,"Machine Learning and Knowledge Discovery in Databases, European Conference, {ECML} {PKDD} 2009, Bled, Slovenia, September 7-11, 2009, Proceedings, Part {II}",DBLP,,,,,6,5782,,,,,Springer,,,,,,,,,,,,"Vanschoren, Joaquin; Blockeel, Hendrik",,,,,,,,,,,,,
239,,,404,2724,A Comparison of Distributed Machine Learning Platforms,Include,Include,include,include,,2017,https://doi.org/10.1109/ICCCN.2017.8038464,"26th International Conference on Computer Communication and Networks, {ICCCN} 2017, Vancouver, BC, Canada, July 31 - Aug. 3, 2017",DBLP,,,,,6,,,,,,{IEEE},,,,,,,,,,,,"Zhang, Kuo; Alqahtani, Salem; Demirbas, Murat",,,,,,,,,,,,,
256,,,518,3199,A comparison of platforms for implementing and running very large scale machine learning algorithms,Include,Include,include,include,,2014,https://doi.org/10.1145/2588555.2593680,"International Conference on Management of Data, {SIGMOD} 2014, Snowbird, UT, USA, June 22-27, 2014",DBLP,,,,,6,,,,,,"M. Tamer""",,,,,,,,,,,,"Cai, Zhuhua; Gao, Zekai J.; Luo, Shangyu; Perez, Luis Leopoldo; Vagena, Zografoula; Jermaine, Christopher M.",,,,,,,,,,,,,
76,215,550,"Weber C., Hirmer P., Reimann P., Schwarz H.",57195319558;56512389100;57197425667;7401907586;,A new process model for the comprehensive management of machine learning models,Include,Include,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067500040&partnerID=40&md5=b4ad200bc9be91b1f692b95c39c95a65,2019,ICEIS 2019 - Proceedings of the 21st International Conference on Enterprise Information Systems,1,,,403,410,,,,"Graduate School advanced Manufacturing Engineering, University of Stuttgart, Nobelstraße 12, Stuttgart, 70569, Germany; Institute for Parallel and Distributed Systems, University of Stuttgart, Stuttgart, 70569, Germany","Weber, C., Graduate School advanced Manufacturing Engineering, University of Stuttgart, Nobelstraße 12, Stuttgart, 70569, Germany; Hirmer, P., Institute for Parallel and Distributed Systems, University of Stuttgart, Stuttgart, 70569, Germany; Reimann, P., Graduate School advanced Manufacturing Engineering, University of Stuttgart, Nobelstraße 12, Stuttgart, 70569, Germany; Schwarz, H., Institute for Parallel and Distributed Systems, University of Stuttgart, Stuttgart, 70569, Germany",Analytics process; Machine learning; Model management,Information systems; Information use; Learning systems; Life cycle; Comprehensive managements; Enterprise information system; Interaction points; Machine learning models; Model management; Operational phase; Process model; Process Modeling; Machine learning,"Institute for Systems and Technologies of Information, Control and Communication (INSTICC)",SciTePress,"21st International Conference on Enterprise Information Systems, ICEIS 2019",3 May 2019 through 5 May 2019,,148445,,9789897583728,,Conference Paper,Final,,Scopus,2-s2.0-85067500040,,,,,,,,,,,
73,211,545,"Ferguson M., Jeong S., Law K.H., Levitan S., Narayanan A., Burkhardt R., Jena T., Lee Y.-T.T.",57193604071;57214827357;55671078700;57212303808;8297305100;57212306684;8662899800;55617132300;,A standardized representation of convolutional neural networks for reliable deployment of machine learning models in the manufacturing industry,Include,Include,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076406669&doi=10.1115%2fDETC2019-97095&partnerID=40&md5=25b8322f5b9afe7e4bfefdc64a215997,2019,Proceedings of the ASME Design Engineering Technical Conference,1,,,,,,1,10.1115/DETC2019-97095,"Engineering Informatics Group, Stanford University, Stanford, CA  94305, United States; IBM Cognitive Applications, IBM, Chicago, IL  60606, United States; Viterbi School of Engineering, University of Southern California, Los Angeles, CA  90007, United States; Artificial Intelligence R and D, SoftwareAG, San Diego, CA  92130, United States; Artificial Intelligence R and D, Zementis*, San Diego, CA  92130, United States; Systems Integration Division, National Institute of Standards and Technology, Gaithersburg, MD  20899, United States","Ferguson, M., Engineering Informatics Group, Stanford University, Stanford, CA  94305, United States; Jeong, S., Engineering Informatics Group, Stanford University, Stanford, CA  94305, United States; Law, K.H., Engineering Informatics Group, Stanford University, Stanford, CA  94305, United States; Levitan, S., IBM Cognitive Applications, IBM, Chicago, IL  60606, United States; Narayanan, A., Viterbi School of Engineering, University of Southern California, Los Angeles, CA  90007, United States; Burkhardt, R., Artificial Intelligence R and D, SoftwareAG, San Diego, CA  92130, United States; Jena, T., Artificial Intelligence R and D, Zementis*, San Diego, CA  92130, United States; Lee, Y.-T.T., Systems Integration Division, National Institute of Standards and Technology, Gaithersburg, MD  20899, United States",,Benchmarking; Convolution; Deep neural networks; Defects; Design; Engines; Machine learning; Manufacture; Markup languages; Neural networks; Convolutional neural network; Defect detection; Engineering and manufacturing; Machine learning models; Manufacturing industries; Network representation; Predictive model markup languages; Standardized methods; Engineering education,Computers and Information in Engineering Division;Design Engineering Division,American Society of Mechanical Engineers (ASME),"ASME 2019 International Design Engineering Technical Conferences and Computers and Information in Engineering Conference, IDETC-CIE 2019",18 August 2019 through 21 August 2019,,155262,,9780791859179,,Conference Paper,Final,,Scopus,2-s2.0-85076406669,,,,,,,,,,,
29,111,260,Mittal S.,36158412700;,A Survey on optimized implementation of deep learning models on the NVIDIA Jetson platform,Exclude,Uncertain,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060645413&doi=10.1016%2fj.sysarc.2019.01.011&partnerID=40&md5=9235cce8cc8ed2d1a30379b2fc1884ca,2019,Journal of Systems Architecture,97,,,428,442,,8,10.1016/j.sysarc.2019.01.011,"IIT, Hyderabad, India","Mittal, S., IIT, Hyderabad, India",Autonomous driving; Deep learning; Drone; Embedded system; Low-power computing; Neural network; NVIDIA Jetson; Review,Drones; Embedded systems; Low power electronics; Neural networks; Reviews; Surveys; Algorithmic optimization; Autonomous driving; Low-power computing; Neural network (nn); Neural network application; NVIDIA Jetson; Optimized implementation; Real-life applications; Deep learning,,Elsevier B.V.,,,,,13837621,,JSARF,Review,Final,,Scopus,2-s2.0-85060645413,,,,,,,,,,,
129,415,1202,"Patel S., McGinnis R.S., Silva I., Dicristofaro S., Mahadevan N., Jortberg E., Franco J., Martin A., Lust J., Raj M., McGrane B., Depetrillo P., Aranyosi A.J., Ceruolo M., Pindado J., Ghaffari R.",15058071300;37077700000;14831876600;57192917657;57192919658;57192923152;57192913321;57192921058;57192922752;56377164400;56648089200;56743131000;8985901200;57192921802;57192915729;55258653200;,A wearable computing platform for developing cloud-based machine learning models for health monitoring applications,Exclude,Include,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009083980&doi=10.1109%2fEMBC.2016.7592095&partnerID=40&md5=b4138c4f1d3514684034b52ee556e94a,2016,"Proceedings of the Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBS",2016-October,,7592095,5997,6001,,4,10.1109/EMBC.2016.7592095,"MC10, Inc, Lexington, MA, United States","Patel, S., MC10, Inc, Lexington, MA, United States; McGinnis, R.S., MC10, Inc, Lexington, MA, United States; Silva, I., MC10, Inc, Lexington, MA, United States; Dicristofaro, S., MC10, Inc, Lexington, MA, United States; Mahadevan, N., MC10, Inc, Lexington, MA, United States; Jortberg, E., MC10, Inc, Lexington, MA, United States; Franco, J., MC10, Inc, Lexington, MA, United States; Martin, A., MC10, Inc, Lexington, MA, United States; Lust, J., MC10, Inc, Lexington, MA, United States; Raj, M., MC10, Inc, Lexington, MA, United States; McGrane, B., MC10, Inc, Lexington, MA, United States; Depetrillo, P., MC10, Inc, Lexington, MA, United States; Aranyosi, A.J., MC10, Inc, Lexington, MA, United States; Ceruolo, M., MC10, Inc, Lexington, MA, United States; Pindado, J., MC10, Inc, Lexington, MA, United States; Ghaffari, R., MC10, Inc, Lexington, MA, United States",,"adult; ambulatory monitoring; cloud computing; daily life activity; devices; female; human; machine learning; male; procedures; theoretical model; Activities of Daily Living; Adult; Cloud Computing; Female; Humans; Machine Learning; Male; Models, Theoretical; Monitoring, Ambulatory",,Institute of Electrical and Electronics Engineers Inc.,"38th Annual International Conference of the IEEE Engineering in Medicine and Biology Society, EMBC 2016",16 August 2016 through 20 August 2016,,124354,1557170X,9781457702204,,Conference Paper,Final,,Scopus,2-s2.0-85009083980,,,,,,,,,,,
180,,,163,2075,ABOUT ML: Annotation and Benchmarking on Understanding and Transparency of Machine Learning Lifecycles,Include,Ex,include,include,,2019,http://arxiv.org/abs/1912.06166,CoRR,DBLP,,,,,7,abs/1912.06166,,,,,,,,,,,,,,,,,"Raji, Inioluwa Deborah; Yang, Jingying",,,,,,,,,,,,,
222,,,340,2531,Accelerating the Machine Learning Lifecycle with MLflow,Include,Include,include,include,,2018,http://sites.computer.org/debull/A18dec/p39.pdf,{IEEE} Data Eng. Bull.,DBLP,,,,,7,41,,,,,,,,,,,,,,,,,"Zaharia, Matei; Chen, Andrew; Davidson, Aaron; Ghodsi, Ali; Hong, Sue Ann; Konwinski, Andy; Murching, Siddharth; Nykodym, Tomas; Ogilvie, Paul; Parkhe, Mani; Xie, Fen; Zumar, Corey",,,,,,,,,,,,,
132,421,1222,"Krishnan S., Franklin M.J., Goldberg K., Wang J., Wu E.",56272628500;7202284265;35453491100;38863309000;36083426700;,ActiveClean: An interactive data cleaning framework for modern machine learning,Include,ex,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979681530&doi=10.1145%2f2882903.2899409&partnerID=40&md5=332ae55e25e62455bfb8a32dca929966,2016,Proceedings of the ACM SIGMOD International Conference on Management of Data,26-June-2016,,,2117,2120,,7,10.1145/2882903.2899409,"UC Berkeley, United States; Columbia University, United States; Simon Fraser University, Canada","Krishnan, S., UC Berkeley, United States; Franklin, M.J., UC Berkeley, United States; Goldberg, K., UC Berkeley, United States; Wang, J., Columbia University, United States; Wu, E., Simon Fraser University, Canada",,Artificial intelligence; Data cleaning; High-dimensional models; Importance weighting; Modern machines; Topic Modeling; Training machines; Video classification; Visual Interface; Learning systems,ACM SIGMOD,Association for Computing Machinery,"2016 ACM SIGMOD International Conference on Management of Data, SIGMOD 2016",26 June 2016 through 1 July 2016,,122411,7308078,9781450335317,,Conference Paper,Final,Open Access,Scopus,2-s2.0-84979681530,,,,,,,,,,,
111,343,951,"Kahng M., Andrews P.Y., Kalro A., Chau D.H.P.",36447365600;57195545408;57195544225;14035167900;,ActiVis: Visual Exploration of Industry-Scale Deep Neural Network Models,Exclude,Include,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028697384&doi=10.1109%2fTVCG.2017.2744718&partnerID=40&md5=33c7290819ac35de299706fe00aa080b,2018,IEEE Transactions on Visualization and Computer Graphics,24,1,8022871,88,97,,56,10.1109/TVCG.2017.2744718,"Georgia Institute of Technology, United States; Facebook, United States","Kahng, M., Georgia Institute of Technology, United States; Andrews, P.Y., Facebook, United States; Kalro, A., Facebook, United States; Chau, D.H.P., Georgia Institute of Technology, United States",deep learning; information visualization; machine learning; Visual analytics,Artificial intelligence; Complex networks; Coordination reactions; Deep learning; Information systems; Learning systems; Social networking (online); Visualization; Information visualization; Interactive visualization systems; Large-scale datasets; Multiple coordinated views; Neural network model; Participatory design; Visual analytics; Visual exploration; Deep neural networks,,IEEE Computer Society,,,,,10772626,,ITVGE,Article,Final,,Scopus,2-s2.0-85028697384,,,,,,,,,,,
12,33,84,"Ren K., Zheng T., Qin Z., Liu X.",8396435500;57214218204;57212548629;57211105332;,Adversarial Attacks and Defenses in Deep Learning,Include,Uncertain,include,include,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078475784&doi=10.1016%2fj.eng.2019.12.012&partnerID=40&md5=078305a6c0c071c80a054ddbfd3943c9,2020,Engineering,,,,,,,,10.1016/j.eng.2019.12.012,"Institute of Cyberspace Research, Zhejiang University, Hangzhou, 310027, China; College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Department of Electrical and Computer Engineering, University of Toronto, Toronto, M5S 2E8, Canada; School of Computer Science, McGill University, Montreal, H3A 0E9, Canada","Ren, K., Institute of Cyberspace Research, Zhejiang University, Hangzhou, 310027, China, College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Zheng, T., Department of Electrical and Computer Engineering, University of Toronto, Toronto, M5S 2E8, Canada; Qin, Z., Institute of Cyberspace Research, Zhejiang University, Hangzhou, 310027, China, College of Computer Science and Technology, Zhejiang University, Hangzhou, 310027, China; Liu, X., School of Computer Science, McGill University, Montreal, H3A 0E9, Canada",Adversarial attack; Adversarial defense; Adversarial example; Deep neural network; Machine learning,Learning systems; Machine learning; Network security; Adversarial attack; Adversarial defense; Adversarial example; Hot research topics; Problems and challenges; Security community; Security vulnerabilities; Theoretical foundations; Deep neural networks,,Elsevier Ltd,,,,,20958099,,,Article,Article in Press,Open Access,Scopus,2-s2.0-85078475784,,,,,,,,,,,
